day,x,y,z
345,-1.109104605241107E13,-1.699653010588984E12,2.7851810900311135E7
346,-1.1122547162137682E13,-1.7044954548696287E12,2.790852205128438E7
347,-1.1154048264163383E13,-1.709337897970031E12,2.796523318731685E7
348,-1.118554935853149E13,-1.7141803398968198E12,2.8021944308509156E7
349,-1.1217050445284955E13,-1.7190227806565686E12,2.807865541496092E7
350,-1.124855152446637E13,-1.7238652202557957E12,2.8135366506770793E7
351,-1.1280052596117967E13,-1.7287076587009646E12,2.8192077584036466E7
352,-1.131155366028163E13,-1.7335500959984856E12,2.8248788646854684E7
353,-1.1343054716998895E13,-1.738392532154715E12,2.830549969532126E7
354,-1.137455576631095E13,-1.7432349671759573E12,2.8362210729531072E7
355,-1.1406056808258643E13,-1.7480774010684639E12,2.8418921749578096E7
356,-1.1437557842882486E13,-1.7529198338384355E12,2.8475632755555406E7
357,-1.1469058870222658E13,-1.7577622654920215E12,2.853234374755518E7
358,-1.1500559890319006E13,-1.7626046960353208E12,2.858905472566873E7
359,-1.1532060903211053E13,-1.7674471254743828E12,2.8645765689986482E7
360,-1.1563561908938E13,-1.7722895538152075E12,2.870247664059803E7
361,-1.1595062907538727E13,-1.7771319810637458E12,2.87591875775921E7
362,-1.1626563899051799E13,-1.781974407225901E12,2.8815898501056597E7
363,-1.1658064883515469E13,-1.7868168323075276E12,2.8872609411078595E7
364,-1.168956586096768E13,-1.791659256314434E12,2.8929320307744354E7
365,-1.172106683144607E13,-1.7965016792523816E12,2.8986031191139333E7
366,-1.172894207429302E13,-1.7977122850217153E12,2.900020891242418E7
